skill		level		efficiency*	fd gain		total fd	total fragments cost
-----------------------------------------------------------------------------------------------
cleave   	0->1		0.043002	2.173		2.173		50.0
infinity 	0->1		0.026568	2.012		4.229		125.0
cleave   	1->2		0.020992	0.315		4.558		140.0
cleave   	2->3		0.017438	0.314		4.886		158.0
cleave   	3->4		0.015645	0.313		5.215		178.0
legacy   	0->1		0.013824	1.042		6.311		253.0
cleave   	4->5		0.013522	0.311		6.643		276.0
maestro  	1->2		0.012667	0.381		7.049		306.0
cleave   	5->6		0.012355	0.309		7.380		331.0
storm    	0->1		0.011412	0.860		8.303		406.0
legacy   	1->2		0.011384	0.015		8.318		429.0
legacy   	2->3		0.015730	0.015		8.334		456.0
legacy   	3->4		0.029414	0.886		9.294		486.0
cleave   	6->7		0.010885	0.305		9.628		514.0
maestro  	2->3		0.010666	0.374		10.038		549.0
cleave   	7->8		0.010090	0.303		10.371		579.0
maestro  	3->4		0.009270	0.371		10.781		619.0
cleave   	8->9		0.009112	0.301		11.115		652.0
maestro  	4->5		0.008185	0.369		11.525		697.0
legacy   	4->5		0.007910	0.014		11.541		731.0
legacy   	5->6		0.011099	0.014		11.557		769.0
legacy   	6->7		0.020810	0.878		12.536		811.0
infinity 	1->2		0.007432	0.171		12.728		834.0
maestro  	5->6		0.007332	0.367		13.142		884.0
ruin     	0->1		0.006915	0.520		13.731		959.0
maestro  	6->7		0.006607	0.364		14.145		1014.0
infinity 	2->3		0.006242	0.169		14.337		1041.0
maestro  	7->8		0.006024	0.362		14.751		1101.0
infinity 	3->4		0.005588	0.168		14.944		1131.0
maestro  	8->9		0.005532	0.360		15.358		1196.0
cleave   	9->10		0.005121	0.291		15.694		1296.0
cleave   	10->11		0.007251	0.290		16.030		1336.0
cleave   	11->12		0.006427	0.290		16.366		1381.0
cleave   	12->13		0.006062	0.289		16.702		1431.0
cleave   	13->14		0.006310	0.288		17.038		1486.0
cleave   	14->15		0.007434	0.447		17.561		1546.0
infinity 	4->5		0.004835	0.164		17.754		1580.0
infinity 	5->6		0.004880	0.163		17.946		1618.0
infinity 	6->7		0.005000	0.163		18.139		1660.0
infinity 	7->8		0.005237	0.163		18.331		1705.0
infinity 	8->9		0.005650	0.163		18.524		1754.0
infinity 	9->10		0.006466	0.975		19.679		1904.0
cleave   	15->16		0.004346	0.283		20.017		1969.0
legacy   	7->8		0.004098	0.013		20.033		2014.0
legacy   	8->9		0.004751	0.013		20.050		2063.0
legacy   	9->10		0.006219	0.937		21.175		2213.0
