skill		level		efficiency*	fd gain		total fd	total fragments cost
-----------------------------------------------------------------------------------------------
cleave   	0->1		0.046275	2.340		2.340		50.0
cleave   	1->2		0.023371	0.351		2.700		65.0
infinity 	0->1		0.021185	1.601		4.344		140.0
cleave   	2->3		0.019102	0.344		4.704		158.0
cleave   	3->4		0.017133	0.343		5.063		178.0
cleave   	4->5		0.014847	0.342		5.422		201.0
cleave   	5->6		0.013612	0.341		5.782		226.0
cleave   	6->7		0.012113	0.340		6.141		254.0
cleave   	7->8		0.011267	0.339		6.500		284.0
cleave   	8->9		0.010208	0.337		6.860		317.0
maestro  	1->2		0.010015	0.301		7.181		347.0
legacy   	0->1		0.009291	0.699		7.931		422.0
storm    	0->1		0.008634	0.650		8.632		497.0
maestro  	2->3		0.008529	0.299		8.957		532.0
legacy   	1->2		0.007771	0.009		8.966		555.0
legacy   	2->3		0.010753	0.009		8.976		582.0
legacy   	3->4		0.020136	0.606		9.636		612.0
maestro  	3->4		0.007467	0.299		9.964		652.0
maestro  	4->5		0.006618	0.298		10.292		697.0
infinity 	1->2		0.006008	0.138		10.445		720.0
maestro  	5->6		0.005930	0.297		10.773		770.0
cleave   	9->10		0.005865	0.326		11.134		870.0
cleave   	10->11		0.008119	0.325		11.496		910.0
cleave   	11->12		0.007194	0.324		11.857		955.0
cleave   	12->13		0.007067	0.323		12.219		1005.0
cleave   	13->14		0.007472	0.322		12.580		1060.0
cleave   	14->15		0.009117	0.549		13.198		1120.0
legacy   	4->5		0.005382	0.009		13.208		1154.0
legacy   	5->6		0.007563	0.009		13.218		1192.0
legacy   	6->7		0.014201	0.598		13.895		1234.0
maestro  	6->7		0.005279	0.291		14.226		1289.0
ruin     	0->1		0.005188	0.390		14.671		1364.0
infinity 	2->3		0.004971	0.134		14.825		1391.0
cleave   	15->16		0.004896	0.319		15.191		1456.0
maestro  	7->8		0.004785	0.288		15.523		1516.0
cleave   	16->17		0.004519	0.317		15.889		1586.0
infinity 	3->4		0.004427	0.133		16.042		1616.0
maestro  	8->9		0.004384	0.285		16.374		1681.0
cleave   	17->18		0.004187	0.314		16.740		1756.0
cleave   	18->19		0.003913	0.314		17.106		1836.0
infinity 	4->5		0.003889	0.132		17.260		1870.0
infinity 	5->6		0.003926	0.131		17.414		1908.0
infinity 	6->7		0.004023	0.131		17.568		1950.0
infinity 	7->8		0.004214	0.131		17.722		1995.0
infinity 	8->9		0.004548	0.131		17.876		2044.0
infinity 	9->10		0.005206	0.784		18.800		2194.0
legacy   	7->8		0.002815	0.008		18.810		2239.0
legacy   	8->9		0.003254	0.008		18.820		2288.0
legacy   	9->10		0.004264	0.642		19.582		2438.0
legacy   	10->11		0.003003	0.008		19.592		2498.0
legacy   	11->12		0.004206	0.008		19.602		2566.0
legacy   	12->13		0.007909	0.595		20.314		2641.0
cleave   	19->20		0.002692	0.306		20.682		2816.0
cleave   	20->21		0.003583	0.305		21.050		2901.0
cleave   	21->22		0.003374	0.304		21.418		2991.0
cleave   	22->23		0.003186	0.303		21.786		3086.0
cleave   	23->24		0.003018	0.302		22.154		3186.0
cleave   	24->25		0.002866	0.301		22.522		3291.0
cleave   	25->26		0.002727	0.300		22.891		3401.0
cleave   	26->27		0.002601	0.300		23.259		3516.0
cleave   	27->28		0.002485	0.299		23.627		3636.0
cleave   	28->29		0.002379	0.298		23.995		3761.0
maestro  	9->10		0.002333	0.325		24.398		3961.0
maestro  	10->11		0.003404	0.273		24.738		4041.0
maestro  	11->12		0.003018	0.272		25.077		4131.0
maestro  	12->13		0.002709	0.271		25.416		4231.0
maestro  	13->14		0.002456	0.271		25.755		4341.0
storm    	1->2		0.002268	0.052		25.821		4364.0
maestro  	14->15		0.002244	0.270		26.160		4484.0
legacy   	13->14		0.002220	0.008		26.170		4567.0
legacy   	14->15		0.003158	0.008		26.181		4657.0
legacy   	15->16		0.005977	0.587		26.922		4755.0
cleave   	29->30		0.002183	0.547		27.616		5005.0
infinity 	10->11		0.002069	0.124		27.775		5065.0
maestro  	15->16		0.002059	0.268		28.117		5195.0
storm    	2->3		0.001910	0.052		28.183		5222.0
maestro  	16->17		0.001906	0.267		28.526		5362.0
infinity 	11->12		0.001812	0.123		28.684		5430.0
maestro  	17->18		0.001772	0.266		29.027		5580.0
legacy   	16->17		0.001772	0.008		29.037		5685.0
legacy   	17->18		0.002537	0.008		29.047		5798.0
legacy   	18->19		0.004861	0.585		29.802		5918.0
storm    	3->4		0.001709	0.051		29.869		5948.0
maestro  	18->19		0.001662	0.266		30.215		6108.0
infinity 	12->13		0.001637	0.123		30.375		6183.0
infinity 	13->14		0.001623	0.123		30.535		6266.0
infinity 	14->15		0.001651	0.123		30.695		6356.0
infinity 	15->16		0.001702	0.122		30.855		6454.0
infinity 	16->17		0.001789	0.122		31.015		6559.0
infinity 	17->18		0.001936	0.122		31.175		6672.0
infinity 	18->19		0.002205	0.122		31.334		6792.0
infinity 	19->20		0.002769	0.731		32.294		7055.0
storm    	4->5		0.001495	0.050		32.361		7089.0
storm    	5->6		0.001509	0.050		32.427		7127.0
storm    	6->7		0.001547	0.050		32.494		7169.0
storm    	7->8		0.001621	0.050		32.561		7214.0
storm    	8->9		0.001751	0.050		32.627		7263.0
storm    	9->10		0.002004	0.301		33.027		7413.0
maestro  	19->20		0.001474	0.515		33.711		7763.0
maestro  	20->21		0.001549	0.264		34.064		7933.0
maestro  	21->22		0.001459	0.263		34.416		8113.0
maestro  	22->23		0.001378	0.262		34.769		8303.0
ruin     	1->2		0.001341	0.031		34.810		8326.0
maestro  	23->24		0.001306	0.261		35.163		8526.0
legacy   	19->20		0.001269	0.046		35.225		8789.0
legacy   	20->21		0.002278	0.008		35.235		8917.0
legacy   	21->22		0.004381	0.593		36.038		9052.0
legacy   	22->23		0.001335	0.008		36.048		9195.0
legacy   	23->24		0.001930	0.008		36.059		9345.0
legacy   	24->25		0.003715	0.589		36.860		9503.0
infinity 	20->21		0.001252	0.119		37.023		9631.0
infinity 	21->22		0.001286	0.119		37.186		9766.0
infinity 	22->23		0.001331	0.119		37.349		9909.0
infinity 	23->24		0.001392	0.119		37.512		10059.0
infinity 	24->25		0.001475	0.119		37.675		10217.0
infinity 	25->26		0.001592	0.118		37.838		10382.0
infinity 	26->27		0.001762	0.118		38.000		10555.0
infinity 	27->28		0.002026	0.118		38.163		10735.0
infinity 	28->29		0.002481	0.118		38.326		10923.0
infinity 	29->30		0.003434	1.296		40.119		11298.0
maestro  	24->25		0.001219	0.256		40.478		11508.0
maestro  	25->26		0.001188	0.256		40.837		11728.0
maestro  	26->27		0.001215	0.255		41.196		11958.0
maestro  	27->28		0.001262	0.254		41.555		12198.0
maestro  	28->29		0.001350	0.254		41.914		12448.0
maestro  	29->30		0.001545	0.776		43.015		12948.0
legacy   	25->26		0.001180	0.007		43.026		13113.0
legacy   	26->27		0.001711	0.007		43.036		13286.0
legacy   	27->28		0.003315	0.599		43.892		13466.0
