skill		level		efficiency*	fd gain		total fd	total fragments cost
-----------------------------------------------------------------------------------------------
cleave   	0->1		0.035430	1.787		1.787		50
infinity 	0->1		0.031796	2.413		4.243		125
decree   	0->1		0.025375	1.171		5.463		175
decree   	1->2		0.034754	0.523		6.015		190
decree   	2->3		0.028811	0.520		6.566		208
decree   	3->4		0.025795	0.517		7.117		228
decree   	4->5		0.022315	0.515		7.668		251
decree   	5->6		0.020425	0.512		8.219		276
decree   	6->7		0.018144	0.509		8.770		304
cleave   	1->2		0.017172	0.258		9.051		319
decree   	7->8		0.016805	0.505		9.602		349
decree   	8->9		0.015201	0.503		10.153		382
legacy   	0->1		0.014656	1.105		11.370		457
maestro  	1->2		0.014485	0.435		11.855		487
cleave   	2->3		0.014047	0.253		12.138		505
cleave   	3->4		0.012611	0.253		12.422		525
legacy   	1->2		0.012409	0.012		12.435		548
legacy   	2->3		0.017211	0.012		12.449		575
legacy   	3->4		0.032310	0.974		13.544		605
maestro  	2->3		0.012299	0.431		14.034		640
cleave   	4->5		0.010885	0.251		14.319		663
maestro  	3->4		0.010688	0.428		14.809		703
cleave   	5->6		0.009947	0.249		15.095		728
maestro  	4->5		0.009437	0.426		15.585		773
storm    	0->1		0.009216	0.694		16.386		848
cleave   	6->7		0.008761	0.246		16.672		876
legacy   	4->5		0.008621	0.012		16.686		910
legacy   	5->6		0.012143	0.012		16.700		948
legacy   	6->7		0.022858	0.965		17.825		990
infinity 	1->2		0.008478	0.195		18.055		1013
maestro  	5->6		0.008361	0.419		18.550		1063
cleave   	7->8		0.008102	0.243		18.838		1093
decree   	9->10		0.007732	0.477		19.405		1193
decree   	10->11		0.011840	0.475		19.972		1233
decree   	11->12		0.010475	0.472		20.539		1278
decree   	12->13		0.009383	0.470		21.105		1328
decree   	13->14		0.008490	0.468		21.672		1383
decree   	14->15		0.007747	0.466		22.239		1443
maestro  	6->7		0.007342	0.405		22.734		1498
cleave   	8->9		0.007115	0.235		23.022		1531
decree   	15->16		0.007072	0.461		23.589		1596
infinity 	2->3		0.006886	0.186		23.819		1623
maestro  	7->8		0.006644	0.399		24.314		1683
decree   	16->17		0.006499	0.456		24.880		1753
infinity 	3->4		0.006133	0.184		25.110		1783
maestro  	8->9		0.006070	0.395		25.605		1848
decree   	17->18		0.006004	0.451		26.172		1923
decree   	18->19		0.005603	0.449		26.739		2003
infinity 	4->5		0.005353	0.181		26.968		2037
infinity 	5->6		0.005402	0.181		27.198		2075
infinity 	6->7		0.005534	0.181		27.428		2117
infinity 	7->8		0.005795	0.180		27.658		2162
infinity 	8->9		0.006252	0.180		27.888		2211
infinity 	9->10		0.007155	1.079		29.268		2361
ruin     	0->1		0.005209	0.391		29.774		2436
legacy   	7->8		0.004413	0.011		29.788		2481
legacy   	8->9		0.005088	0.011		29.802		2530
legacy   	9->10		0.006684	1.008		31.110		2680
legacy   	10->11		0.004738	0.011		31.124		2740
legacy   	11->12		0.006653	0.011		31.137		2808
legacy   	12->13		0.012546	0.945		32.377		2883
cleave   	9->10		0.003913	0.222		32.671		2983
cleave   	10->11		0.005530	0.221		32.965		3023
cleave   	11->12		0.004905	0.221		33.259		3068
cleave   	12->13		0.004640	0.220		33.552		3118
cleave   	13->14		0.004834	0.220		33.846		3173
cleave   	14->15		0.005704	0.343		34.305		3233
decree   	19->20		0.003744	0.430		34.882		3408
decree   	20->21		0.005024	0.428		35.460		3493
decree   	21->22		0.004725	0.426		36.037		3583
decree   	22->23		0.004457	0.424		36.614		3678
decree   	23->24		0.004217	0.423		37.191		3778
decree   	24->25		0.003999	0.421		37.769		3883
decree   	25->26		0.003801	0.419		38.346		3993
decree   	26->27		0.003621	0.417		38.923		4108
legacy   	13->14		0.003507	0.010		38.937		4191
legacy   	14->15		0.005003	0.010		38.951		4281
legacy   	15->16		0.009497	0.935		40.251		4379
decree   	27->28		0.003454	0.415		40.833		4499
decree   	28->29		0.003302	0.414		41.416		4624
cleave   	15->16		0.003246	0.211		41.714		4689
maestro  	9->10		0.003072	0.429		42.322		4889
maestro  	10->11		0.004484	0.359		42.834		4969
maestro  	11->12		0.003972	0.358		43.345		5059
maestro  	12->13		0.003562	0.357		43.857		5159
maestro  	13->14		0.003226	0.356		44.368		5269
cleave   	16->17		0.002953	0.207		44.667		5339
maestro  	14->15		0.002941	0.354		45.178		5459
legacy   	16->17		0.002785	0.010		45.193		5564
legacy   	17->18		0.003999	0.010		45.207		5677
legacy   	18->19		0.007684	0.926		46.552		5797
cleave   	17->18		0.002739	0.206		46.853		5872
infinity 	10->11		0.002709	0.163		47.092		5932
maestro  	15->16		0.002695	0.351		47.608		6062
cleave   	18->19		0.002549	0.204		47.910		6142
maestro  	16->17		0.002489	0.349		48.426		6282
infinity 	11->12		0.002365	0.161		48.665		6350
maestro  	17->18		0.002311	0.347		49.181		6500
storm    	1->2		0.002228	0.051		49.258		6523
maestro  	18->19		0.002158	0.346		49.774		6683
infinity 	12->13		0.002125	0.160		50.013		6758
infinity 	13->14		0.002102	0.159		50.252		6841
infinity 	14->15		0.002138	0.159		50.491		6931
infinity 	15->16		0.002203	0.159		50.730		7029
infinity 	16->17		0.002316	0.158		50.968		7134
infinity 	17->18		0.002506	0.158		51.207		7247
infinity 	18->19		0.002854	0.158		51.446		7367
infinity 	19->20		0.003582	0.946		52.880		7630
legacy   	19->20		0.001936	0.056		52.966		7893
legacy   	20->21		0.003511	0.009		52.980		8021
legacy   	21->22		0.006771	0.918		54.385		8156
legacy   	22->23		0.002049	0.009		54.399		8299
legacy   	23->24		0.002971	0.009		54.414		8449
legacy   	24->25		0.005733	0.910		55.819		8607
maestro  	19->20		0.001912	0.668		56.860		8957
maestro  	20->21		0.002008	0.342		57.396		9127
maestro  	21->22		0.001890	0.341		57.933		9307
storm    	2->3		0.001826	0.049		58.010		9334
maestro  	22->23		0.001783	0.339		58.547		9524
legacy   	25->26		0.001768	0.009		58.561		9689
legacy   	26->27		0.002569	0.009		58.576		9862
legacy   	27->28		0.004988	0.902		60.006		10042
cleave   	19->20		0.001705	0.193		60.315		10217
cleave   	20->21		0.002268	0.193		60.625		10302
cleave   	21->22		0.002138	0.193		60.934		10392
cleave   	22->23		0.002022	0.192		61.244		10487
cleave   	23->24		0.001917	0.192		61.553		10587
cleave   	24->25		0.001822	0.192		61.862		10692
cleave   	25->26		0.001736	0.191		62.172		10802
maestro  	23->24		0.001666	0.334		62.713		11002
cleave   	26->27		0.001652	0.190		63.022		11117
storm    	3->4		0.001607	0.048		63.101		11147
cleave   	27->28		0.001579	0.190		63.410		11267
infinity 	20->21		0.001576	0.150		63.656		11395
infinity 	21->22		0.001618	0.150		63.901		11530
infinity 	22->23		0.001674	0.150		64.147		11673
infinity 	23->24		0.001751	0.150		64.393		11823
infinity 	24->25		0.001855	0.149		64.638		11981
infinity 	25->26		0.002002	0.149		64.884		12146
infinity 	26->27		0.002215	0.149		65.129		12319
infinity 	27->28		0.002547	0.149		65.375		12499
infinity 	28->29		0.003118	0.149		65.621		12687
infinity 	29->30		0.004315	1.631		68.322		13062
maestro  	24->25		0.001529	0.321		68.863		13272
maestro  	25->26		0.001487	0.320		69.405		13492
maestro  	26->27		0.001519	0.319		69.946		13722
maestro  	27->28		0.001578	0.318		70.487		13962
maestro  	28->29		0.001688	0.317		71.028		14212
maestro  	29->30		0.001930	0.970		72.687		14712
cleave   	28->29		0.001432	0.179		72.996		14837
decree   	29->30		0.001393	0.349		73.599		15087
storm    	4->5		0.001345	0.045		73.678		15121
storm    	5->6		0.001358	0.045		73.757		15159
storm    	6->7		0.001393	0.045		73.835		15201
storm    	7->8		0.001459	0.045		73.914		15246
storm    	8->9		0.001576	0.045		73.992		15295
storm    	9->10		0.001804	0.271		74.464		15445
ruin     	1->2		0.001224	0.028		74.513		15468
cleave   	29->30		0.001204	0.301		75.039		15718
ruin     	2->3		0.001039	0.028		75.088		15745
ruin     	3->4		0.000935	0.028		75.137		15775
ruin     	4->5		0.000834	0.028		75.186		15809
ruin     	5->6		0.000842	0.028		75.236		15847
ruin     	6->7		0.000864	0.028		75.285		15889
ruin     	7->8		0.000905	0.028		75.334		15934
ruin     	8->9		0.000977	0.028		75.383		15983
ruin     	9->10		0.001119	0.168		75.678		16133
storm    	10->11		0.000745	0.045		75.756		16193
storm    	11->12		0.000657	0.045		75.835		16261
storm    	12->13		0.000596	0.045		75.913		16336
storm    	13->14		0.000594	0.045		75.992		16419
storm    	14->15		0.000604	0.045		76.071		16509
storm    	15->16		0.000623	0.045		76.149		16607
storm    	16->17		0.000655	0.045		76.228		16712
storm    	17->18		0.000709	0.045		76.306		16825
storm    	18->19		0.000808	0.045		76.385		16945
storm    	19->20		0.001015	0.267		76.857		17208
storm    	20->21		0.000471	0.044		76.935		17336
storm    	21->22		0.000483	0.044		77.014		17471
storm    	22->23		0.000501	0.044		77.092		17614
storm    	23->24		0.000524	0.044		77.171		17764
storm    	24->25		0.000555	0.044		77.250		17922
storm    	25->26		0.000600	0.044		77.328		18087
storm    	26->27		0.000664	0.044		77.407		18260
storm    	27->28		0.000764	0.044		77.485		18440
storm    	28->29		0.000936	0.044		77.564		18628
storm    	29->30		0.001295	0.487		78.428		19003
ruin     	10->11		0.000459	0.028		78.478		19063
ruin     	11->12		0.000405	0.028		78.527		19131
ruin     	12->13		0.000367	0.028		78.576		19206
ruin     	13->14		0.000366	0.028		78.625		19289
ruin     	14->15		0.000372	0.027		78.674		19379
ruin     	15->16		0.000384	0.027		78.723		19477
ruin     	16->17		0.000404	0.027		78.772		19582
ruin     	17->18		0.000437	0.027		78.821		19695
ruin     	18->19		0.000498	0.027		78.871		19815
ruin     	19->20		0.000626	0.165		79.165		20078
ruin     	20->21		0.000291	0.027		79.214		20206
ruin     	21->22		0.000299	0.027		79.263		20341
ruin     	22->23		0.000309	0.027		79.313		20484
ruin     	23->24		0.000324	0.027		79.362		20634
ruin     	24->25		0.000343	0.027		79.411		20792
ruin     	25->26		0.000371	0.027		79.460		20957
ruin     	26->27		0.000410	0.027		79.509		21130
ruin     	27->28		0.000472	0.027		79.558		21310
ruin     	28->29		0.000579	0.027		79.607		21498
ruin     	29->30		0.000801	0.301		80.148		21873
legacy   	28->29		0.000173	0.008		80.162		22061
legacy   	29->30		0.000240	0.090		80.324		22436

*efficiency is (morally) fd gain divided by fragment cost. Overall efficiency
should generally decrease as you move down the list. You may note a few times
where this doesn't happens, most noticeably with legacy. This is because
future fd gains (e.g. 1 fd on burst from legacy) get amoratized over the
previous levels. So you get situations where the efficiency increases as you
get closer to the breakpoint. This behavior is expected if slightly unintuitive.
