skill		level		efficiency*	fd gain		total fd	total fragments cost
-----------------------------------------------------------------------------------------------
cleave   	0->1		0.037039	1.869		1.869		50.0
infinity 	0->1		0.031771	2.411		4.325		125.0
cleave   	1->2		0.018042	0.271		4.608		140.0
maestro  	1->2		0.015267	0.459		5.088		170.0
cleave   	2->3		0.014925	0.269		5.370		188.0
legacy   	0->1		0.013665	1.030		6.456		263.0
cleave   	3->4		0.013359	0.268		6.741		283.0
maestro  	2->3		0.012953	0.454		7.226		318.0
cleave   	4->5		0.011534	0.266		7.510		341.0
legacy   	1->2		0.011434	0.013		7.524		364.0
legacy   	2->3		0.015834	0.013		7.537		391.0
legacy   	3->4		0.029675	0.894		8.499		421.0
maestro  	3->4		0.011260	0.451		8.989		461.0
cleave   	5->6		0.010517	0.263		9.276		486.0
maestro  	4->5		0.009938	0.448		9.765		531.0
storm    	0->1		0.009703	0.730		10.567		606.0
cleave   	6->7		0.009256	0.259		10.854		634.0
infinity 	1->2		0.008924	0.205		11.082		657.0
maestro  	5->6		0.008799	0.441		11.572		707.0
cleave   	7->8		0.008561	0.257		11.858		737.0
legacy   	4->5		0.007953	0.012		11.872		771.0
legacy   	5->6		0.011185	0.012		11.886		809.0
legacy   	6->7		0.021020	0.887		12.878		851.0
maestro  	6->7		0.007949	0.438		13.372		906.0
cleave   	8->9		0.007716	0.255		13.661		939.0
infinity 	2->3		0.007487	0.202		13.891		966.0
maestro  	7->8		0.007222	0.434		14.386		1026.0
infinity 	3->4		0.006695	0.201		14.616		1056.0
maestro  	8->9		0.006624	0.432		15.110		1121.0
infinity 	4->5		0.005888	0.200		15.340		1155.0
infinity 	5->6		0.005941	0.199		15.570		1193.0
infinity 	6->7		0.006086	0.199		15.800		1235.0
infinity 	7->8		0.006373	0.199		16.030		1280.0
infinity 	8->9		0.006875	0.198		16.260		1329.0
infinity 	9->10		0.007866	1.187		17.640		1479.0
ruin     	0->1		0.005722	0.430		18.146		1554.0
cleave   	9->10		0.004307	0.245		18.435		1654.0
cleave   	10->11		0.006094	0.244		18.724		1694.0
cleave   	11->12		0.005403	0.243		19.013		1739.0
cleave   	12->13		0.005102	0.243		19.302		1789.0
cleave   	13->14		0.005312	0.242		19.591		1844.0
cleave   	14->15		0.006260	0.376		20.041		1904.0
legacy   	7->8		0.004100	0.011		20.055		1949.0
legacy   	8->9		0.004739	0.011		20.069		1998.0
legacy   	9->10		0.006215	0.937		21.193		2148.0
legacy   	10->11		0.004383	0.011		21.207		2208.0
legacy   	11->12		0.006144	0.011		21.221		2276.0
legacy   	12->13		0.011565	0.871		22.277		2351.0
cleave   	15->16		0.003712	0.242		22.573		2416.0
maestro  	9->10		0.003515	0.492		23.175		2616.0
maestro  	10->11		0.005131	0.411		23.682		2696.0
maestro  	11->12		0.004542	0.410		24.188		2786.0
maestro  	12->13		0.004071	0.408		24.695		2886.0
maestro  	13->14		0.003686	0.406		25.202		2996.0
cleave   	16->17		0.003367	0.236		25.497		3066.0
maestro  	14->15		0.003357	0.404		26.004		3186.0
legacy   	13->14		0.003257	0.011		26.018		3269.0
legacy   	14->15		0.004638	0.011		26.032		3359.0
legacy   	15->16		0.008785	0.865		27.121		3457.0
cleave   	17->18		0.003117	0.234		27.419		3532.0
infinity 	10->11		0.003093	0.186		27.656		3592.0
maestro  	15->16		0.003076	0.401		28.167		3722.0
cleave   	18->19		0.002898	0.232		28.465		3802.0
maestro  	16->17		0.002838	0.398		28.976		3942.0
