skill		level		efficiency*	fd gain		total fd	total fragments cost
-----------------------------------------------------------------------------------------------
cleave   	0->1		0.044196	2.234		2.234		50
decree   	0->1		0.026713	1.233		3.495		100
decree   	1->2		0.036580	0.550		4.064		115
decree   	2->3		0.030316	0.547		4.633		133
decree   	3->4		0.027136	0.544		5.203		153
decree   	4->5		0.023469	0.541		5.772		176
cleave   	1->2		0.022441	0.337		6.129		191
decree   	5->6		0.021403	0.536		6.698		216
infinity 	0->1		0.020397	1.541		8.342		291
decree   	6->7		0.018720	0.525		8.912		319
cleave   	2->3		0.018162	0.327		9.268		337
decree   	7->8		0.017325	0.521		9.838		367
cleave   	3->4		0.016208	0.325		10.194		387
decree   	8->9		0.015617	0.517		10.764		420
cleave   	4->5		0.013976	0.322		11.120		443
cleave   	5->6		0.012817	0.321		11.477		468
cleave   	6->7		0.011407	0.320		11.833		496
cleave   	7->8		0.010613	0.319		12.190		526
cleave   	8->9		0.009617	0.318		12.547		559
maestro  	1->2		0.009510	0.286		12.868		589
legacy   	0->1		0.009093	0.684		13.641		664
storm    	0->1		0.008201	0.617		14.342		739
maestro  	2->3		0.008104	0.284		14.666		774
decree   	9->10		0.008077	0.498		15.238		874
decree   	10->11		0.012371	0.496		15.810		914
decree   	11->12		0.010942	0.494		16.381		959
decree   	12->13		0.009799	0.491		16.953		1009
decree   	13->14		0.008865	0.489		17.524		1064
decree   	14->15		0.008087	0.486		18.096		1124
legacy   	1->2		0.007554	0.008		18.106		1147
legacy   	2->3		0.010460	0.008		18.116		1174
legacy   	3->4		0.019602	0.590		18.812		1204
decree   	15->16		0.007413	0.483		19.386		1269
maestro  	3->4		0.006858	0.275		19.714		1309
decree   	16->17		0.006832	0.479		20.288		1379
decree   	17->18		0.006346	0.477		20.862		1454
maestro  	4->5		0.006022	0.271		21.190		1499
decree   	18->19		0.005905	0.474		21.764		1579
infinity 	1->2		0.005442	0.125		21.916		1602
maestro  	5->6		0.005373	0.269		22.244		1652
cleave   	9->10		0.005280	0.293		22.603		1752
cleave   	10->11		0.007304	0.293		22.962		1792
cleave   	11->12		0.006474	0.292		23.320		1837
cleave   	12->13		0.006366	0.291		23.679		1887
cleave   	13->14		0.006732	0.290		24.038		1942
cleave   	14->15		0.008217	0.494		24.651		2002
legacy   	4->5		0.005204	0.008		24.661		2036
legacy   	5->6		0.007319	0.008		24.671		2074
legacy   	6->7		0.013756	0.579		25.393		2116
maestro  	6->7		0.004796	0.264		25.724		2171
ruin     	0->1		0.004714	0.354		26.170		2246
infinity 	2->3		0.004518	0.122		26.324		2273
cleave   	15->16		0.004417	0.288		26.687		2338
maestro  	7->8		0.004351	0.261		27.018		2398
cleave   	16->17		0.004079	0.286		27.381		2468
infinity 	3->4		0.004027	0.121		27.535		2498
maestro  	8->9		0.003990	0.260		27.866		2563
decree   	19->20		0.003923	0.451		28.442		2738
decree   	20->21		0.005265	0.449		29.018		2823
decree   	21->22		0.004951	0.447		29.595		2913
decree   	22->23		0.004669	0.445		30.171		3008
decree   	23->24		0.004416	0.443		30.747		3108
decree   	24->25		0.004187	0.441		31.323		3213
decree   	25->26		0.003980	0.439		31.899		3323
decree   	26->27		0.003790	0.437		32.475		3438
cleave   	17->18		0.003650	0.274		32.838		3513
decree   	27->28		0.003606	0.434		33.415		3633
decree   	28->29		0.003447	0.432		33.991		3758
infinity 	4->5		0.003402	0.115		34.145		3792
infinity 	5->6		0.003434	0.115		34.299		3830
infinity 	6->7		0.003520	0.115		34.453		3872
infinity 	7->8		0.003687	0.115		34.607		3917
infinity 	8->9		0.003980	0.114		34.761		3966
infinity 	9->10		0.004555	0.686		35.685		4116
cleave   	18->19		0.003341	0.268		36.048		4196
legacy   	7->8		0.002678	0.007		36.058		4241
legacy   	8->9		0.003089	0.007		36.068		4290
legacy   	9->10		0.004052	0.610		36.897		4440
legacy   	10->11		0.002863	0.007		36.908		4500
legacy   	11->12		0.004014	0.007		36.918		4568
legacy   	12->13		0.007558	0.568		37.696		4643
cleave   	19->20		0.002336	0.265		38.061		4818
cleave   	20->21		0.003109	0.265		38.426		4903
