skill		level		efficiency*	fd gain		total fd	total fragments cost
-----------------------------------------------------------------------------------------------
cleave   	0->1		0.034813	1.756		1.756		50
sbreign  	0->1		0.033776	1.703		3.488		100
infinity 	0->1		0.030736	2.332		5.901		175
decree   	0->1		0.024547	1.132		7.100		225
decree   	1->2		0.033625	0.506		7.642		240
decree   	2->3		0.027879	0.503		8.183		258
decree   	3->4		0.024966	0.500		8.725		278
decree   	4->5		0.021601	0.498		9.266		301
decree   	5->6		0.019775	0.496		9.808		326
bloom    	0->1		0.018168	0.912		10.809		376
decree   	6->7		0.017410	0.489		11.351		404
cleave   	1->2		0.016480	0.247		11.627		419
decree   	7->8		0.016131	0.485		12.168		449
legacy   	0->1		0.014594	1.100		13.402		524
decree   	8->9		0.014572	0.482		13.949		557
maestro  	1->2		0.013910	0.418		14.425		587
cleave   	2->3		0.013492	0.243		14.704		605
legacy   	1->2		0.012392	0.012		14.717		628
legacy   	2->3		0.017195	0.012		14.730		655
legacy   	3->4		0.032294	0.973		15.847		685
cleave   	3->4		0.012106	0.242		16.128		705
maestro  	2->3		0.011815	0.414		16.609		740
sbreign  	1->2		0.011186	0.168		16.805		755
cleave   	4->5		0.010441	0.240		17.086		778
bloom    	1->2		0.010283	0.154		17.266		793
maestro  	3->4		0.010238	0.410		17.747		833
cleave   	5->6		0.009529	0.238		18.028		858
sbreign  	2->3		0.009209	0.166		18.224		876
maestro  	4->5		0.009027	0.407		18.705		921
storm    	0->1		0.008818	0.663		19.493		996
legacy   	4->5		0.008608	0.011		19.506		1030
legacy   	5->6		0.012130	0.011		19.520		1068
legacy   	6->7		0.022843	0.964		20.672		1110
bloom    	2->3		0.008388	0.151		20.854		1128
cleave   	6->7		0.008366	0.235		21.138		1156
sbreign  	3->4		0.008153	0.163		21.335		1176
infinity 	1->2		0.008089	0.186		21.561		1199
maestro  	5->6		0.007979	0.400		22.047		1249
cleave   	7->8		0.007732	0.232		22.330		1279
bloom    	3->4		0.007447	0.149		22.513		1299
