skill		level		efficiency*	fd gain		total fd	total fragments cost
-----------------------------------------------------------------------------------------------
sbreign  	0->1		0.045129	2.282		2.282		50
cleave   	0->1		0.043197	2.183		4.514		100
decree   	0->1		0.026123	1.206		5.774		150
decree   	1->2		0.035775	0.538		6.343		165
decree   	2->3		0.029652	0.535		6.912		183
decree   	3->4		0.026545	0.532		7.481		203
decree   	4->5		0.022960	0.529		8.050		226
cleave   	1->2		0.021956	0.330		8.407		241
decree   	5->6		0.020943	0.525		8.976		266
bloom    	0->1		0.020320	1.021		10.089		316
infinity 	0->1		0.019763	1.493		11.732		391
decree   	6->7		0.018144	0.509		12.301		419
cleave   	2->3		0.017605	0.317		12.658		437
decree   	7->8		0.016796	0.505		13.227		467
cleave   	3->4		0.015715	0.315		13.583		487
decree   	8->9		0.015144	0.501		14.152		520
sbreign  	1->2		0.014359	0.216		14.398		535
cleave   	4->5		0.013526	0.312		14.755		558
cleave   	5->6		0.012405	0.311		15.111		583
bloom    	1->2		0.011882	0.178		15.316		598
sbreign  	2->3		0.011845	0.213		15.563		616
cleave   	6->7		0.010998	0.308		15.919		644
sbreign  	3->4		0.010605	0.212		16.165		664
cleave   	7->8		0.010212	0.307		16.521		694
bloom    	2->3		0.009782	0.176		16.727		712
cleave   	8->9		0.009239	0.305		17.083		745
maestro  	1->2		0.009137	0.274		17.405		775
sbreign  	4->5		0.009105	0.210		17.651		798
bloom    	3->4		0.008719	0.175		17.856		818
legacy   	0->1		0.008560	0.644		18.615		893
sbreign  	5->6		0.008323	0.208		18.862		918
storm    	0->1		0.007838	0.590		19.563		993
maestro  	2->3		0.007746	0.271		19.887		1028
decree   	9->10		0.007725	0.477		20.459		1128
decree   	10->11		0.011829	0.474		21.030		1168
decree   	11->12		0.010465	0.472		21.601		1213
decree   	12->13		0.009375	0.470		22.173		1263
decree   	13->14		0.008483	0.468		22.744		1318
decree   	14->15		0.007740	0.465		23.315		1378
bloom    	4->5		0.007258	0.167		23.521		1401
sbreign  	6->7		0.007137	0.200		23.768		1429
legacy   	1->2		0.007099	0.008		23.778		1452
legacy   	2->3		0.009829	0.008		23.788		1479
legacy   	3->4		0.018416	0.554		24.474		1509
decree   	15->16		0.007073	0.461		25.047		1574
bloom    	5->6		0.006608	0.165		25.254		1599
sbreign  	7->8		0.006594	0.198		25.502		1629
maestro  	3->4		0.006521	0.261		25.830		1669
decree   	16->17		0.006497	0.456		26.403		1739
decree   	17->18		0.006037	0.454		26.977		1814
sbreign  	8->9		0.005913	0.195		27.225		1847
bloom    	6->7		0.005799	0.162		27.432		1875
maestro  	4->5		0.005709	0.257		27.759		1920
decree   	18->19		0.005599	0.449		28.333		2000
bloom    	7->8		0.005365	0.161		28.540		2030
infinity 	1->2		0.005153	0.119		28.692		2053
maestro  	5->6		0.005088	0.255		29.020		2103
cleave   	9->10		0.005008	0.278		29.379		2203
cleave   	10->11		0.006919	0.277		29.737		2243
cleave   	11->12		0.006133	0.276		30.096		2288
cleave   	12->13		0.006036	0.276		30.454		2338
cleave   	13->14		0.006382	0.275		30.813		2393
cleave   	14->15		0.007789	0.468		31.425		2453
legacy   	4->5		0.004890	0.008		31.435		2487
legacy   	5->6		0.006876	0.008		31.445		2525
legacy   	6->7		0.012921	0.544		32.160		2567
bloom    	8->9		0.004752	0.157		32.368		2600
maestro  	6->7		0.004541	0.250		32.699		2655
ruin     	0->1		0.004465	0.335		33.144		2730
infinity 	2->3		0.004279	0.116		33.298		2757
cleave   	15->16		0.004184	0.272		33.661		2822
maestro  	7->8		0.004122	0.248		33.992		2882
cleave   	16->17		0.003865	0.271		34.355		2952
infinity 	3->4		0.003816	0.115		34.509		2982
maestro  	8->9		0.003781	0.246		34.840		3047
decree   	19->20		0.003720	0.427		35.416		3222
decree   	20->21		0.004992	0.425		35.991		3307
decree   	21->22		0.004695	0.423		36.567		3397
decree   	22->23		0.004429	0.422		37.143		3492
decree   	23->24		0.004190	0.420		37.719		3592
decree   	24->25		0.003974	0.418		38.295		3697
decree   	25->26		0.003777	0.416		38.870		3807
decree   	26->27		0.003598	0.415		39.446		3922
cleave   	17->18		0.003466	0.260		39.809		3997
decree   	27->28		0.003425	0.412		40.385		4117
decree   	28->29		0.003275	0.410		40.961		4242
infinity 	4->5		0.003233	0.109		41.115		4276
infinity 	5->6		0.003264	0.109		41.269		4314
infinity 	6->7		0.003345	0.109		41.423		4356
infinity 	7->8		0.003505	0.109		41.577		4401
infinity 	8->9		0.003782	0.109		41.730		4450
infinity 	9->10		0.004330	0.652		42.654		4600
cleave   	18->19		0.003177	0.254		43.017		4680
sbreign  	9->10		0.002933	0.174		43.266		4780
sbreign  	10->11		0.004341	0.174		43.515		4820
sbreign  	11->12		0.003852	0.173		43.764		4865
sbreign  	12->13		0.003461	0.173		44.013		4915
sbreign  	13->14		0.003141	0.173		44.262		4970
sbreign  	14->15		0.002874	0.173		44.511		5030
sbreign  	15->16		0.002648	0.172		44.760		5095
legacy   	7->8		0.002517	0.007		44.770		5140
legacy   	8->9		0.002904	0.007		44.780		5189
legacy   	9->10		0.003809	0.573		45.609		5339
legacy   	10->11		0.002692	0.007		45.619		5399
legacy   	11->12		0.003774	0.007		45.630		5467
legacy   	12->13		0.007104	0.534		46.408		5542
sbreign  	16->17		0.002446	0.171		46.658		5612
bloom    	9->10		0.002378	0.142		46.867		5712
bloom    	10->11		0.003552	0.142		47.076		5752
bloom    	11->12		0.003152	0.142		47.285		5797
bloom    	12->13		0.002833	0.142		47.494		5847
bloom    	13->14		0.002572	0.142		47.702		5902
bloom    	14->15		0.002354	0.141		47.911		5962
sbreign  	17->18		0.002259	0.170		48.162		6037
cleave   	19->20		0.002173	0.246		48.527		6212
cleave   	20->21		0.002888	0.246		48.892		6297
cleave   	21->22		0.002721	0.245		49.257		6387
cleave   	22->23		0.002572	0.245		49.622		6482
cleave   	23->24		0.002437	0.244		49.987		6582
cleave   	24->25		0.002316	0.243		50.353		6687
cleave   	25->26		0.002205	0.243		50.718		6797
bloom    	15->16		0.002130	0.139		50.926		6862
cleave   	26->27		0.002101	0.242		51.292		6977
sbreign  	18->19		0.002071	0.166		51.542		7057
cleave   	27->28		0.002005	0.241		51.908		7177
legacy   	13->14		0.001970	0.007		51.918		7260
legacy   	14->15		0.002805	0.007		51.928		7350
legacy   	15->16		0.005313	0.522		52.721		7448
bloom    	16->17		0.001958	0.137		52.930		7518
cleave   	28->29		0.001913	0.239		53.297		7643
maestro  	9->10		0.001906	0.266		53.704		7843
maestro  	10->11		0.002781	0.223		54.046		7923
maestro  	11->12		0.002466	0.222		54.388		8013
maestro  	12->13		0.002215	0.222		54.731		8113
maestro  	13->14		0.002009	0.221		55.073		8223
storm    	1->2		0.001852	0.043		55.139		8246
maestro  	14->15		0.001837	0.221		55.481		8366
bloom    	17->18		0.001795	0.135		55.691		8441
cleave   	29->30		0.001767	0.443		56.380		8691
infinity 	10->11		0.001687	0.101		56.538		8751
maestro  	15->16		0.001680	0.219		56.881		8881
bloom    	18->19		0.001668	0.134		57.090		8961
legacy   	16->17		0.001581	0.007		57.100		9066
legacy   	17->18		0.002265	0.007		57.111		9179
legacy   	18->19		0.004345	0.523		57.932		9299
maestro  	16->17		0.001561	0.219		58.277		9439
storm    	2->3		0.001556	0.042		58.344		9466
infinity 	11->12		0.001484	0.101		58.504		9534
decree   	29->30		0.001473	0.369		59.089		9784
maestro  	17->18		0.001446	0.217		59.434		9934
sbreign  	19->20		0.001426	0.159		59.687		10109
sbreign  	20->21		0.001860	0.158		59.939		10194
sbreign  	21->22		0.001754	0.158		60.192		10284
sbreign  	22->23		0.001659	0.158		60.445		10379
sbreign  	23->24		0.001574	0.158		60.698		10479
sbreign  	24->25		0.001497	0.157		60.950		10584
sbreign  	25->26		0.001426	0.157		61.203		10694
storm    	3->4		0.001375	0.041		61.270		10724
sbreign  	26->27		0.001362	0.157		61.522		10839
maestro  	18->19		0.001336	0.214		61.868		10999
infinity 	12->13		0.001316	0.099		62.028		11074
infinity 	13->14		0.001307	0.099		62.188		11157
infinity 	14->15		0.001330	0.099		62.347		11247
infinity 	15->16		0.001371	0.098		62.507		11345
infinity 	16->17		0.001441	0.098		62.667		11450
infinity 	17->18		0.001560	0.098		62.827		11563
infinity 	18->19		0.001777	0.098		62.987		11683
infinity 	19->20		0.002231	0.589		63.946		11946
sbreign  	27->28		0.001284	0.154		64.199		12066
sbreign  	28->29		0.001230	0.154		64.452		12191
storm    	4->5		0.001202	0.040		64.518		12225
storm    	5->6		0.001214	0.040		64.585		12263
storm    	6->7		0.001245	0.040		64.651		12305
storm    	7->8		0.001305	0.040		64.718		12350
storm    	8->9		0.001408	0.040		64.784		12399
storm    	9->10		0.001613	0.242		65.184		12549
maestro  	19->20		0.001187	0.414		65.868		12899
maestro  	20->21		0.001248	0.212		66.220		13069
maestro  	21->22		0.001176	0.212		66.572		13249
legacy   	19->20		0.001126	0.037		66.635		13512
legacy   	20->21		0.002028	0.006		66.645		13640
legacy   	21->22		0.003905	0.529		67.526		13775
legacy   	22->23		0.001187	0.006		67.536		13918
legacy   	23->24		0.001719	0.006		67.547		14068
